year,movie_name,best_picture,best_picture_won,best_animated_feature,best_animated_feature_won,best_foreign,best_foreign_won,best_doc,best_doc_won,best_doc_short,best_doc_short_won,best_live_short,best_live_short_won,best_animated_short,best_animated_short_won,release_year,period,movie_id,rating,review_num,winner,min,0
2020,Jojo Rabbit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,tt2584384,7.7234513274336285,452,0,1.0,4
2020,Toy Story 4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,tt1979376,6.758620689655173,87,1,,4
2020,Toy Story 4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,tt1979376,6.9,90,1,,4
2020,Missing Link,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,tt6348138,6.541666666666667,24,0,1.0,4
2020,Missing Link,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,tt6348138,6.928571428571429,14,0,1.0,4
2020,American Factory,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,tt9351980,7.958333333333333,24,1,,4
2020,American Factory,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,tt9351980,6.65625,32,1,,4
2020,For Sama,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,tt9617456,9.28125,32,0,1.0,4
2020,For Sama,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,tt9617456,9.266666666666667,15,0,1.0,4
2020,Hair Love,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2019,0,tt7129636,6.285714285714286,7,1,,4
2020,Hair Love,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2019,1,tt7129636,7.230769230769231,13,1,,4
2020,Mémorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2019,0,tt10499942,9.166666666666666,6,0,1.0,4
2020,Mémorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2019,1,tt10499942,8.666666666666666,6,0,1.0,4
2014,12 Years a Slave,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt2024544,7.75,240,1,,4
2014,12 Years a Slave,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt2024544,7.086614173228346,127,1,,4
2014,Nebraska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt1821549,7.743362831858407,113,0,1.0,4
2014,Nebraska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt1821549,7.166666666666667,42,0,1.0,4
2014,Frozen,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt2294629,7.68125,320,1,,4
2014,Frozen,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt2294629,6.995260663507109,211,1,,4
2014,Ernest & Celestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt1816518,7.857142857142857,7,0,1.0,4
2014,Ernest & Celestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt1816518,9.2,5,0,1.0,4
2014,The Great Beauty (Italy) in Italian,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt2358891,6.641025641025641,39,1,,4
2014,The Great Beauty (Italy) in Italian,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt2358891,7.4,25,1,,4
2014,The Broken Circle Breakdown (Belgium) in Dutch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt2024519,7.785714285714286,14,0,1.0,4
2014,The Broken Circle Breakdown (Belgium) in Dutch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt2024519,7.714285714285714,14,0,1.0,4
2014,20 Feet from Stardom,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0,tt2396566,6.866666666666666,15,1,,4
2014,20 Feet from Stardom,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1,tt2396566,6.8,15,1,,4
